artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Théodore Chassériau,,,,,,,,,1840,1854,
Kōgyo Tsukioka,,,,,,,,,,,
Marsden Hartley,American,Stieglitz group,"{American modernism:1},{Modern art:1},{Abstract Art,Regionalism:33},",,,,,,1906,1941,
Laurent de La Hyre,,,"{Classicism:4},{Baroque:14},",,,,,,1630,1647,
Augustus Saint-Gaudens,,,"{Neoclassicism:1},",,,,,,1872,1926,
Ivan Aivazovsky,"Russian,Armenian",Cimmerian Art School,"{Romanticism:579},",,,,,"Artists2/Ivan Aivazovsky/Sea View.jpg,Artists2/Ivan Aivazovsky/Sea View 1900.jpg,Artists2/Ivan Aivazovsky/Sea View 1899.jpg,Artists2/Ivan Aivazovsky/Sea View 1895.jpg,Artists2/Ivan Aivazovsky/Sea View 1892.jpg,Artists2/Ivan Aivazovsky/Mine Attack 1877.jpg,Artists2/Ivan Aivazovsky/The Sunrize 1874.jpg,Artists2/Ivan Aivazovsky/Sea View 1865.jpg,Artists2/Ivan Aivazovsky/Portrait Of Senator Alexander Ivanovich Kaznacheyev 1848.jpg,Artists2/Ivan Aivazovsky/Sea Battle At Revel 1846.jpg,Artists2/Ivan Aivazovsky/Sea View 1841 1.jpg,",1834,1900,
Kiyokata Kaburagi,Japanese,,"{Taishō period (1912–1926),Shōwa period (1926–1989):24},",,,,,,1903,1931,
John Robert Cozens,,,"{Romanticism:3},",,,,,,1792,1792,
Cindy Sherman,American,Pictures Generation,"{Feminist Art,Conceptual Art:123},",,,,,,1975,2010,
Nikos Hadjikyriakos-Ghikas,,,,,,,,,1937,1978,
Kurt Schwitters,German,"Abstraction-Création,Degenerate art","{Dada:39},",,"Jessica Stockholder,Fernando García Ponce,",,,,1919,1947,
Giovanni Segantini,"Italian,Swiss",,"{Neo-impressionism:1},{Modern art:1},{Post-Impressionism,Symbolism:83},","Anton Mauve,Jean-Francois Millet,",,,,,1878,1899,
Gerard David,Flemish,Bruges School,"{Northern Renaissance:54},","Hugo van der Goes,",,,,,1475,1520,
Jan van Huysum,,,,,,,,,1720,1720,
James Tissot,French,,"{Realism,Impressionism:451},",,,,,,1860,1902,
Kuroda Seiki,,,,,,,,,1889,1919,
Jannis Kounellis,"Italian,Greek",,"{Contemporary art:3},{Arte Povera:14},",,,,,,1960,2008,
Sin Saimdang,,,,,,,,,1504,1551,
Piero della Francesca,,,,,,,,,,,
Ivan Shishkin,Russian,Peredvizhniki (Society for Traveling Art Exhibitions),"{Realism:521},","Caspar David Friedrich,",,,,"Artists2/Ivan Shishkin/Edge Of The Forest 2.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1.jpg,Artists2/Ivan Shishkin/Edge Of The Forest.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1892.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1890.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1884.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1879.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1873.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1866.jpg,",1854,1898,
Lewis Carroll,British,,"{Pictorialism:46},",,,,,,1855,1879,
Gabriël Metsu,,,,,,,,,1641,1665,
Giovanni Battista Moroni,,,,,,,,,1557,1560,
Rosso Fiorentino,Italian,Florentine School,"{Mannerism (Late Renaissance):21},",,,,,,1517,1540,
Peter Lindbergh,,,,,,,,,,,
Simone Cantarini,,,"{Bolognese School:24},{Baroque:24},",,,,,,1640,1640,
Paulus Potter,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,1647,1650,
Achille Devéria,,,,,,,,,1850,1855,
Pedro Figari,Uruguayan,,"{Post-Impressionism:3},{Primitivism:3},{Modern art:3},{Modernismo:3},",,,,,,1935,1935,
Hélio Oiticica,,,,,,,,,1957,1986,
Nicolaes Pieterszoon Berchem,,,,,,,,,1645,1655,
Frank Duveneck,,,"{Modern art:1},{Impressionism:1},",,,,,,1879,1887,
Ai Weiwei,,,,,,,,,2015,2015,
Lajos Kassák,,,,,,,,,,,
Francis Wheatley,,,,,,,,,1770,1786,
Rosalba Carriera,Italian,,"{Rococo:38},",,,,,,1701,1746,
Mark Jenkins,,,,,,,,,2008,2013,
Taryn Simon,,,"{Contemporary art:3},",,,,,,2013,2013,
Peter Lely,,,,,,,,,1650,1674,
Hans Baldung,German,Upper Rhine School,"{Northern Renaissance:101},",,,,,,1502,1544,
Ogata Gekkō,,,,,,,,,,,
Chihiro Iwasaki,,,,,,,,,1946,1973,
Grayson Perry,,,,,,,,,2000,2000,
Félix Bonfils,,,,,,,,,1867,1880,
James Turrell,American,,"{Light and Space,Environmental Art:135},","Crater Spaces,Ganzfelds,Skyspaces,Kunsthalle Bremen, Bremen, Germany,Tunnel Pieces,",,,,,1967,2013,
Jan van Goyen,,,"{Dutch Golden Age:14},{Baroque:14},",,,,,,1644,1653,
Jasper Francis Cropsey,,,"{Luminism:1},{Hudson River School:1},",,,,,,1845,1876,
Georg Pencz,,,"{German Renaissance:5},{Northern Renaissance:5},{Renaissance:5},",,,,,,1533,1540,
Ferdinand Bol,Dutch,,"{Dutch Golden Age:1},{Baroque:80},","Rembrandt,",,,"Rembrandt,",,1630,1680,
Giambologna,Flemish,,"{Mannerism (Late Renaissance):50},",,,,,,1562,1600,
Ralph Morse,,,,,,,,,1901,1995,
Charles-André van Loo,,,,,,,,,1764,1764,
Willem van de Velde the Younger,,,,,,,,,1645,1666,
Inshō Dōmoto,,,,,,,,,1914,1968,
Pontormo,,,,,,,,,1514,1525,
Marc Chagall,"French,Jewish,Belarusian","École de Paris,Soyuz Molodyozhi (Union of the Youth),Donkey's Tail (Osliniy khvost),Degenerate art,La Ruche","{Naïve Art (Primitivism):1018},","Jean Metzinger,Albert Gleizes,Leon Bakst,Paul Gauguin,Pablo Picasso,Henri Matisse,Chaim Soutine,Robert Delaunay,Cubism,","Pablo Picasso,Diego Rivera,Ossip Zadkine,Joan Miro,El Lissitzky,Surrealism,Abstract Expressionism,",,"Leon Bakst,Jean Metzinger,Andre Dunoyer de Segonzac,Henri Le Fauconnier,Zvantseva School of Drawing and Painting, St. Petersburg, Russia,Vitebsk Art School, Vitebsk, Belarus,Académie de La Palette, Paris, France,","Robert Delaunay,Fernand Leger,Piet Mondrian,Kazimir Malevich,",1900,1985,
Gerrit Dou,Dutch,Dutch School,"{Baroque:79},",,"Johannes Vermeer,Pieter de Hooch,Gabriel Metsu,","Gabriel Metsu,Frans van Mieris the Elder,","Rembrandt,",,1630,1675,
Frank Rinehart,,,,,,,,,1898,1900,
Renato Guttuso,Italian,,"{Expressionism,Social Realism:35},",,,,,,1935,1985,
Charles Nègre,,,,,,,,,1844,1982,
William Turner,British,,"{Romanticism:227},","Antoine Watteau,Horace Vernet,Jacob van Ruisdael,","Alfred Sisley,Childe Hassam,Samuel Palmer,Claude Monet,Thomas Cole,Camille Corot,",,,,1792,1850,
Pieter Jansz. Saenredam,,,,,,,,,1631,1634,
Edwin Landseer,,,,,,,,,1824,1845,
Hieronymus Cock,,,"{Renaissance:2},",,,,,,1554,1557,
Antonio Tempesta,,,,,,,,,,,
Tina Modotti,,,,,,,,,1924,1927,
Adolph Tidemand,,,,,,,,,,,
Anton Raphael Mengs,German,,"{Neoclassicism,Baroque:53},","Raphael,Correggio,Titian,","Jacques-Louis David,","Francisco Goya,",,,1748,1779,
Ivan Generalić,,,,,,,,,1914,1992,
Francesco Primaticcio,,,,,,,,,1529,1570,
Giovanni Paolo Panini,Italian,,"{Baroque:21},",,"Claude-Joseph Vernet,",,,,1691,1800,
Gerard van Honthorst,,,,,,,,,1618,1649,
Arthur Bowen Davies,,,,,,,,,1911,1917,
Yayoi Kusama,Japanese,,"{Contemporary art:1},{Feminist Art,Outsider art (Art brut),Pop Art:27},",,,,,,1953,2006,
Palma il Giovane,,,"{Venetian school:1},{Mannerism:1},",,,,,,1605,1623,
Hyacinthe Rigaud,"French,Catalan",,"{Baroque:20},","Artists2/Hyacinthe Rigaud/Robert De Cotte 1713.jpg,",,,,,1686,1742,
Robert Adams,,,"{Abstract art:1},{Modernism:1},",,,,,,,,
Francesco Solimena,Italian,Neapolitan school,"{Baroque:31},",,,,,,1690,1744,
Olafur Eliasson,,,,,,,,,2004,2008,
John James Audubon,"French,American",,"{Naturalism:186},",,,,,,1827,1864,
Stefan Lochner,,,,,,,,,1450,1450,
Christoffer Wilhelm Eckersberg,,,"{Neoclassicism:16},",,,,,,1814,1841,
Asher Brown Durand,American,Hudson River School,"{Romanticism:74},",,,,,"Thomas Cole,",1820,1886,
Frank Lloyd Wright,,,,,,,,,,,
José Clemente Orozco,,,,,,,,,,,
Jean-Baptiste Carpeaux,,,,,,,,,1827,1964,
Jean-Baptiste Greuze,,,"{Neoclassicism:2},",,,,,,1759,1800,
Domenico Tintoretto,,,"{Italian Renaissance:2},{Venetian school:3},{Renaissance:3},",,,,,,1576,1610,
Jean-Antoine Houdon,,,,,,,,,1777,1791,
Nadar,,,,,,,,,1853,1924,
Sebastião Salgado,,,,,,,,,,,
William Daniell,,,,,,,,,1790,1803,
John Frederick Lewis,,,,,,,,,1856,1876,
Pierre-Joseph Redouté,,,,,,,,,1802,1816,
Carleton Watkins,,,,,,,,,1852,1890,
Louise Bourgeois,,,,,,,,,1990,2001,
Nicholas Nixon,,,,,,,,,,,
John William Waterhouse,British,Pre-Raphaelite Brotherhood,"{Romanticism:108},",,,,,,1850,1917,
Liu Wei,,,"{Conceptual art:1},{Contemporary art:2},",,,,,,1989,2014,
Sakai Hōitsu,,,,,,,,,1810,1815,
Filippino Lippi,,,"{Italian Renaissance:5},{Florentine painting:3},{Renaissance:5},",,,,,,1482,1485,
Thomas Moran,American,"Hudson River School,Rocky Mountain School","{Hudson River School:4},{Romanticism:40},",,,,,,1856,1919,
Soga Shōhaku,,,,,,,,,1758,1769,
Martin Kippenberger,German,Neue Wilde,"{Neo-Expressionism,Conceptual Art:22},",,,,,,1981,1997,
Keith Haring,,,"{Contemporary art:1},",,,,,,1982,2013,
Paul Sérusier,,,"{Post-Impressionism:2},{Synthetism:1},{Les Nabis:2},{Modern art:2},",,,,,,1894,1913,
Wu Changshuo,,,,,,,,,1890,1918,
Mattia Preti,Italian,Caravaggisti,"{Baroque:33},",,,,,,1630,1699,
Inkie,,,"{Conceptual art:1},",,,,,,2012,2014,
Rogier van der Weyden,,,,,,,,,1441,1460,
Hector Guimard,,,,,,,,,1894,1909,
Swoon,,,,,,,,,2012,2014,
Koloman Moser,Austrian,Vienna Secession,"{Arts and Crafts movement:1},{Art Nouveau:200},{Vienna Secession:3},{Modern art:3},","female-portraits,sunrise-and-sunset,forests-and-trees,Alps,mountains,female-nude,mountains,scene-design,musical-instruments,covers,logotypes,postcards,Entwurf für die Österreichische Jubiläumsbriefmarke Franz Joseph I. zu Pferd,Entwurf für die Österreichische Jubiläumsbriefmarke Ansicht der Wiener Hofburg,Entwurf für die Österreichische Jubiläumsbriefmarke Kaiser Joseph II,Entwurf für die Österreichische Jubiläumsbriefmarke Kaiser Franz Joseph I,Entwurf für die Österreichische Jubiläumsbriefmarke Kaiser Franz I,Entwurf für die Österreichische Jubiläumsbriefmarke Kaiserin Maria Theresia,walls-and-staircases,Exlibris für Otto Zuckerkandl,posters-and-advertisements,frogs,allegories-and-symbols,fish,male-portraits,famous-people,furniture-and-decoration,Entwurfszeichnung für das Frühstückszimmer der Wohnung Eisler von Terramare Damenschreibtisch mit einschiebbarem Stuhl,Entwurfszeichnung für das Frühstückszimmer der Wohnung Eisler von Terramare Hoher Armlehnstuhl,Tänzerin,Dekorationsstoff Spiel der Wellen,female-portraits,posters-and-advertisements,characters-and-emotions,Vorfrühling.Illustation zum gleichnamigen Gedicht von Rainer Maria Rilke.,flowers-and-plants,Möbelvelourentwurf Lindenbüten für Backhausen für das Hotel Bristol in Bozen,Knüpfteppichentwurf Kleeblatt für Backhausenfür das Hotel Bristol in Bozen,couples,covers,allegories-and-symbols,spring,male-nude,allegories-and-symbols,children,frogs,male-portraits,",,,,"Gustav Klimt,Artists2/Koloman Moser/Young Woman With Hat.jpg,Artists2/Koloman Moser/Landscape In Semmering 1913 1.jpg,Artists2/Koloman Moser/Landscape In Semmering 1913.jpg,Artists2/Koloman Moser/Reclining Female Nude Mileva Roller 1912.jpg,Artists2/Koloman Moser/Kolo Middle Dolomites.jpg,Artists2/Koloman Moser/Stage Design For The Lake Of Julius Bittner.jpg,Artists2/Koloman Moser/Dancer Miss Olga George 1911.jpg,Artists2/Koloman Moser/Envelope For The Score To The Opera Julius Bittner S Opera The Musician 1909.jpg,Artists2/Koloman Moser/Postcard With Emperor Franz Josef 1908.jpg,Artists2/Koloman Moser/Holy Spirit Church In Düsseldorf Design For The Right Side Wall 1907.jpg,Artists2/Koloman Moser/Holy Spirit Church In Düsseldorf Design For The Left Side Wall With A Baptistery 1907.jpg,Artists2/Koloman Moser/Holy Spirit Church In Düsseldorf Design For The Left Side Wall 1907.jpg,Artists2/Koloman Moser/Holy Spirit Church In Düsseldorf Design For The Entrance Wall 1907.jpg,Artists2/Koloman Moser/Holy Spirit Church In Düsseldorf Design For The Choir Wall 1907.jpg,Artists2/Koloman Moser/Catalogue Of The Austrian Exhibition In London 1906.jpg,Artists2/Koloman Moser/Exlibris Adele Bloch Bookplate With Princess And Frog.jpg,Artists2/Koloman Moser/Pisces.jpg,Artists2/Koloman Moser/Kolo Moser 1903.jpg,Artists2/Koloman Moser/Draft Drawings For The Breakfast Room Of The Apartment Eisler Terramare Proportion Of Study 1903.jpg,Artists2/Koloman Moser/Draft Drawings For A Cabinet In The Headquarters Of The Vienna Workshop 1903.jpg,Artists2/Koloman Moser/Poster For The Xiii Secession 1902.jpg,Artists2/Koloman Moser/Poster For Felix Salzens Jung Wiener Theatre With Lieben Augustin 1901.jpg,Artists2/Koloman Moser/Early Spring Illustration To A Poem By Rainer Maria Rilke 1901 1.jpg,Artists2/Koloman Moser/Poster For Prince Richard Metternich 1899.jpg,Artists2/Koloman Moser/Poster For Fromme S Calendar 1899.jpg,Artists2/Koloman Moser/Iris Illustration To A Poem By Arno Holz 1898.jpg,Artists2/Koloman Moser/Postcard To Carl Moll Ver Sacrum 1897.jpg,Artists2/Koloman Moser/Matter Of Conscience Humorous Illustration For Meggendorfers Leaves 1897.jpg,Artists2/Koloman Moser/Cover Design Of The First Publication Of The Association Of Austrian Artists Secession 1897.jpg,Artists2/Koloman Moser/Waidmannsheil 1896.jpg,Artists2/Koloman Moser/Spring Morning 1896.jpg,Artists2/Koloman Moser/Head Strips 1896.jpg,Artists2/Koloman Moser/The Frog King.jpg,Artists2/Koloman Moser/Rudolf Steindl A Brother Of The Artist.jpg,",1888,1916,
Giuseppe Arcimboldo,Italian,,"{Mannerism (Late Renaissance):26},",,,,,,1563,1591,
Elihu Vedder,,,"{American Realism:1},{Realism:1},{Symbolism:9},{Modern art:7},{Aestheticism:2},",,,,,,1865,1898,
Louis-Léopold Boilly,,,,,,,,,1800,1800,
Jean-Baptiste Pillement,,,,,,,,,,,
Shen Zhou,Chinese,Wu School,"{Ming Dynasty (1368–1644):14},",,,,,,1467,1500,
Giorgione,Italian,Venetian School,"{Venetian school:1},{High Renaissance:50},{Italian Renaissance:1},{Renaissance:1},",,"Venetian School,Titian,Lorenzo Lotto,Caravaggio,",,"Giovanni Bellini,","Titian,",1500,1510,
Félix Bracquemond,,,,,,,,,1879,1894,
Carl Larsson,Swedish,,"{Arts and Crafts ,Art Nouveau:117},","children,arts-and-crafts,male-portraits,famous-people,dishware-and-cutlery,children,cows,shepherds,children portraits,reading-and-writing,characters-and-emotions,children,reading-and-writing,families,mother-and-child,mealtimes,male-portraits,famous-people,reading-and-writing,furniture-and-decoration,female-portraits,famous-people,children,furniture-and-decoration,handwork,countryside,handwork,animals,cows,female-nude,characters-and-emotions,children,furniture-and-decoration,mealtimes,female-portraits,children portraits,children,reading-and-writing,furniture-and-decoration,yards,actors-and-performances,roads-and-vehicles,horses,mother-and-child,furniture-and-decoration,","Nationalmuseum, Stockholm, Sweden,Private Collection,",,,"Artists2/Carl Larsson/Christmas Morning 1894.jpg,Artists2/Carl Larsson/Self Portrait 1891.jpg,Artists2/Carl Larsson/Detail Of Christmas Eve 1906.jpg,Artists2/Carl Larsson/Cowgirl In The Meadow 1906.jpg,Artists2/Carl Larsson/Children Of The Carpenter Helberg 1906.jpg,Artists2/Carl Larsson/Lisbeth Reading 1904.jpg,Artists2/Carl Larsson/Karin Reading 1904.jpg,Artists2/Carl Larsson/The First Lesson 1903.jpg,Artists2/Carl Larsson/Mrs Dora Lamm And Her Two Eldest Sons 1903.jpg,Artists2/Carl Larsson/Breakfast In The Open 1913.jpg,Artists2/Carl Larsson/Self Portrait 1912.jpg,Artists2/Carl Larsson/Correspondence 1912.jpg,Artists2/Carl Larsson/Lisbeth At The Birch Grove 1910.jpg,Artists2/Carl Larsson/The Entry Of King Gustav Vasa Of Sweden Into Stockholm 1523 1908.jpg,Artists2/Carl Larsson/Brita At The Piano 1908.jpg,Artists2/Carl Larsson/Woodcutters In The Forest 1906.jpg,Artists2/Carl Larsson/Threshing 1906.jpg,Artists2/Carl Larsson/The Stable 1906.jpg,Artists2/Carl Larsson/The Model On The Table 1906.jpg,Artists2/Carl Larsson/The Manure Pile 1906.jpg,Artists2/Carl Larsson/Self Recognition 1906.jpg,Artists2/Carl Larsson/Abuelo With Esborjn 1902.jpg,Artists2/Carl Larsson/Getting Ready For A Game 1901.jpg,Artists2/Carl Larsson/Brita As Iduna I Unn Lithography Title Page For The Christmas Edition Of Idun 1901 1901.jpg,Artists2/Carl Larsson/Required Reading 1900.jpg,Artists2/Carl Larsson/Lisbeth In Blue Bird 1900.jpg,Artists2/Carl Larsson/Before The Mirror 1900.jpg,Artists2/Carl Larsson/August Strindberg 1899.jpg,Artists2/Carl Larsson/Los Deberes 1898.jpg,Artists2/Carl Larsson/The Bridge 1896.jpg,Artists2/Carl Larsson/Between Christmas And New A O 1896.jpg,Artists2/Carl Larsson/Self Portrait 1895.jpg,Artists2/Carl Larsson/Clair Obscur 1877.jpg,",,,
Marc Ferrez,,,,,,,,,1840,1947,
Retna,,,,,,,,,,,
Francesco Hayez,Italian,,"{Neoclassicism:1},{Romanticism:84},","male-portraits,Greek-and-Roman-Mythology,Paris,Hermes/Mercury,","Museo Correr, Venice, Italy,",,,"Artists2/Francesco Hayez/Portrait Of A Man 1834.jpg,Artists2/Francesco Hayez/Mercury Gives Paris The Apple Of Discord 1817.jpg,",1813,1874,
Reza Abbasi,Iranian,,"{Safavid Period (before 1600),Safavid and Qajar Periods (after 1600):17},",,,,,,1590,1634,
George Catlin,American,,"{Realism:29},",,,,,,1830,1850,
Jacob Lawrence,American,,"{Social Realism,Harlem Renaissance (New Negro Movement):37},",,,,,,1940,1999,
Paula Modersohn-Becker,,,,,,,,,1899,1905,
Charles Marville,,,,,,,,,1850,1877,
Jacob de Gheyn II,,,,,,,,,1597,1600,
Hans Memling,Flemish,"Bruges School,Flemish School","{Northern Renaissance:164},","Rogier van der Weyden,Jan van Eyck,","Raphael,Mariotto Albertinelli,",,,,1463,1494,
Kusakabe Kimbei,,,,,,,,,1880,1890,
Giovanni Benedetto Castiglione,,,,,,,,,1630,1660,
Anselm Kiefer,,,,,,,,,1995,2009,
Antonio da Correggio,,,,,,,,,,,
Gustave Doré,,,,,,,,,1850,1883,
Henry Moore,British,Seven and Five Society,"{Abstract Art:33},","Amedeo Modigliani,Michelangelo,Jacob Epstein,Auguste Rodin,",,,,"Anthony Caro,",1934,1979,
László Mednyánszky,,,,,,,,,1873,1918,
Louis Faurer,,,,,,,,,1952,1952,
Thomas Dewing,American,Ten (Ten American Painters),"{Tonalism,Impressionism:75},","Pre-Raphaelite Brotherhood,",,,"Gustave Boulanger,Jules Joseph Lefebvre,",,1877,1927,
El Lissitzky,"Russian,Jewish","UNOVIS (УНОВИС) (The Champions of the New Art),Degenerate art,Four Arts","{Suprematism,Constructivism:79},","Marc Chagall,",,,"Vitebsk Art School, Vitebsk, Belarus,Kazimir Malevich,","Vasyl Yermylov,Vadym Meller,",1913,1930,
Jean-Étienne Liotard,,,,,,,,,1717,1781,
Sébastien Bourdon,,,,,,,,,1645,1650,
Kazimir Malevich,"Russian,Polish,Ukrainian","Jack of Diamonds,Soyuz Molodyozhi (Union of the Youth),Donkey's Tail (Osliniy khvost)","{Suprematism,Abstract Art:359},","Aristarkh Lentulov,","Josef Albers,Ad Reinhardt,Nasreen Mohamedi,","El Lissitzky,","Mykola Pymonenko,Vitebsk Art School, Vitebsk, Belarus,Kyiv Art School, Kyiv, Ukraine,National Academy of Visual Arts and Architecture, Kyiv, Ukraine,","Olga Rozanova,Lyubov Popova,Aleksandra Ekster,Marc Chagall,Laszlo Moholy-Nagy,Vadym Meller,Pavel Filonov,",1900,1934,
Vittore Carpaccio,Italian,Venetian School,"{Italian Renaissance:1},{Venetian school:1},{Renaissance:1},{High Renaissance:53},","Christianity,saints-and-apostles,Virgin-and-Child,horsemen,male-portraits,Christianity,saints-and-apostles,beasts-and-dragons,St.-George,Christianity,Jesus-Christ,angels-and-archangels,Christianity,Jesus-Christ,Virgin-and-Child,Flight-into-Egypt,Virgin-Mary,famous-people,female-portraits,Christianity,saints-and-apostles,God-the-Father,St.-Ursula,angels-and-archangels,boats-and-ships,hunting-and-racing,female-portraits,","Norton Simon Museum, Pasadena, CA, US,Uffizi Gallery, Florence, Italy,J. Paul Getty Museum, Los Angeles, CA, US,Rijksmuseum, Amsterdam, Netherlands,","Legend of St. Ursula for the Scola di Sant'Orsola,",,"Artists2/Vittore Carpaccio/The Glory Of St Vidal 1514.jpg,Artists2/Vittore Carpaccio/Portrait Of A Venetian Nobleman.jpg,Artists2/Vittore Carpaccio/The Triumph Of St George 1502.jpg,Artists2/Vittore Carpaccio/The Dead Christ Supported By Angels.jpg,Artists2/Vittore Carpaccio/The Flight Into Egypt 1500.jpg,Artists2/Vittore Carpaccio/Portrait Of A Lady 1.jpg,Artists2/Vittore Carpaccio/Glorification Of St Ursula And Her Companions 1491.jpg,Artists2/Vittore Carpaccio/Hunting On The Lagoon.jpg,Artists2/Vittore Carpaccio/Portrait Of A Lady.jpg,",1487,1516,
Paul-Albert Besnard,,,,,,,,,1883,1883,
John Martin,British,,"{Romanticism:32},",,,,,,1812,1853,
Salvator Rosa,Italian,,"{Baroque:108},",,,,,"Claude Lorrain,Gian Lorenzo Bernini,",1640,1673,
Carlo Maratta,,,,,,,,,1676,1676,
Josef Hoffmann,,,"{Arts and Crafts movement:1},{Art Deco:1},{Modern art:3},",,,,,,1904,1925,
Alphonse Mucha,Czech,,"{Art Nouveau:151},",,"J. C. Leyendecker,",,,,1894,1938,
Sebastiano Ricci,,,"{Rococo:3},{Baroque:1},",,,,,,1690,1730,
André Charles Boulle,,,,,,,,,1680,1725,
Hans Burgkmair,,,,,,,,,,,
Tang Yin,Chinese,,"{Ming Dynasty (1368–1644):12},",,,,,,1507,1523,
Lawrence Alma-Tadema,,,,,,,,,1884,1909,
Richard Parkes Bonington,British,,"{Romanticism:42},","Eugene Delacroix,","Eugene Delacroix,jungles-and-tropics,storm-and-tempest,boats-and-ships,seas-and-oceans,","Charles Gleyre,",,,1820,1828,
George Rodger,,,,,,,,,1941,1947,
Burt Glinn,,,,,,,,,1950,1951,
Garry Winogrand,,,,,,,,,,,
Jamini Roy,,,,,,,,,1940,1940,
John Henry Twachtman,American,"Society of American Artists,Ten (Ten American Painters),Cos Cob Art Colony","{American Impressionism:3},{Modern art:3},{Impressionism:258},",,,"Leon Kroll,",,,1873,1902,
Claude Joseph Vernet,French,,"{Neoclassicism:43},","Giovanni Paolo Panini,",,,,,1737,1789,
William Holman Hunt,British,Pre-Raphaelite Brotherhood,"{Romanticism,Symbolism:52},","John Ruskin,Giotto,Ambrogio Lorenzetti,Paolo Veneziano,","Ford Madox Brown,",,,"Dante Gabriel Rossetti,John Everett Millais,",1842,1905,
Frank Hurley,Australian,,,,,,,,1911,1922,
Francesco Guardi,Italian,Venetian School,"{Rococo:4},{Venetian school:4},{Baroque:67},",,,,,,1737,1790,
Josef Sudek,,,,,,,,,1940,1954,
Torii Kiyonaga,,,,,,,,,1782,1782,
Simon Vouet,,,"{Baroque:6},",,,,,,1630,1645,
Pompeo Batoni,,,"{Neoclassicism:3},",,,,,,1736,1775,
Aelbert Cuyp,Dutch,Dutch School,"{Dutch Golden Age:1},{Baroque:18},","Claude Lorrain,Jan Dirksz Both,Jan van Goyen,",,,,,1639,1660,
Gertrude Käsebier,,,,,,,,,1895,1910,
Maurice Denis,French,Les Nabis,"{Post-Impressionism:8},{Les Nabis:7},{Symbolism:1},{Modern art:8},{Symbolism,Post-Impressionism:65},",,,"Tamara de Lempicka,",,,1889,1943,
Émile Bernard,,,"{Post-Impressionism:2},{Synthetism:2},{Modern art:2},",,,,,,1887,1890,
Uemura Shōen,,,,,,,,,1891,2001,
Marcantonio Raimondi,,,"{Italian Renaissance:2},{Renaissance:3},",,,,,,1510,1517,
Alvar Aalto,,,,,,,,,1929,2005,
Shibata Zeshin,Japanese,Shijō school,"{Edo period (1603–1867),Meiji Period (1868–1912):38},",,,,,,1840,1900,
Giotto,Italian,Florentine School,"{Proto Renaissance:139},","Byzantine Art,","Proto Renaissance,Jose Clemente Orozco,Cennino Cennini,Paul Gauguin,Michelangelo,William Holman Hunt,Ambrogio Lorenzetti,Pietro Lorenzetti,Giovanni da Milano,Lorenzo Monaco,",,"Cimabue,",,1290,1335,
Jean-Louis Forain,,,"{Modern art:2},{Impressionism:2},",,,,,,1873,1910,
Bernardo Bellotto,Italian,Venetian School,"{Rococo:99},",,,,"Canaletto,",,1738,1780,
Edward Steichen,,,,,,,,,1903,1933,
Giovanni Battista Piranesi,Italian,,"{Baroque,Neoclassicism:1356},",,,,,,1742,1778,
Maurice Prendergast,American,Eight,"{Post-Impressionism:379},","Childe Hassam,",,,,,1891,1923,
Parmigianino,Italian,Parma school,"{Italian Renaissance:7},{Renaissance:7},{Mannerism:14},{Mannerism (Late Renaissance):46},","Albrecht Durer,","Jacopo Bassano,",,,,1520,1540,
Wenceslaus Hollar,,,"{Baroque:4},",,,,,,1645,1650,
Jean-Baptiste Oudry,,,"{Rococo:7},{Baroque:1},",,,,,,1727,1745,
Michael Ancher,,,"{Realism:4},{Modern art:7},{Impressionism:1},",,,,,,1879,1915,
Thomas Cole,American,Hudson River School,"{Romanticism:143},","J.M.W. Turner,","Frederic Edwin Church,Hudson River School,","Frederic Edwin Church,",,"Frederic Edwin Church,John Trumbull,Asher Brown Durand,",1823,1850,
Jan Lievens,Dutch,Dutch School,"{Dutch Golden Age:6},{Baroque:29},","Kunsthistorisches Museum, Vienna, Austria,",,,,,1625,1658,
Dorothea Lange,,,,,,,,,1935,1976,
Keisai Eisen,Japanese,,"{Ukiyo-e:2},{Edo period (1603–1867):96},",,,,,,1820,1848,
Sebald Beham,,,"{German Renaissance:176},{Northern Renaissance:175},{Renaissance:176},",,,,,,1519,1548,
Sidney Nolan,Australian,,"{Surrealism:22},",,,,,,1945,1983,
Élisabeth Vigée Le Brun,,,,,,,,,1795,1817,
George Romney,British,English school,"{Rococo:237},{Neoclassicism:3},",,,,,,1750,1811,
Pietro da Cortona,,,"{Baroque:1},",,,,,,1610,1661,
Karl Friedrich Schinkel,,,,,,,,,1797,1858,
Graciela Iturbide,,,,,,,,,,,
Walker Evans,,,"{Social realism:9},",,,,,,1929,1976,
Roger Fenton,,,,,,,,,1852,1865,
Antonio Canova,Italian,,"{Neoclassicism:24},",,,,,,1775,1822,
