artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Santiago Rusiñol,,,"{Modern art:2},",,,,,,1898,1911,
Jean-Baptiste-Siméon Chardin,,,"{Realism:1},",,,,,,1728,1753,
John Sell Cotman,,,"{Norwich School:2},{Romanticism:4},",,,,,,1807,1807,
Toyohara Chikanobu,Japanese,,"{Meiji Period (1868–1912):30},",,,,,,1877,1901,
Gerhard Richter,German,,"{New European Painting:54},","Caspar David Friedrich,Jackson Pollock,Lucio Fontana,Robert Rauschenberg,Andy Warhol,","Ellsworth Kelly,Conceptual Art,Wolfgang Tillmans,",,"Karl Otto Gotz,","Blinky Palermo,Sigmar Polke,Joseph Beuys,Georg Baselitz,",1963,2001,
Joseph Wright of Derby,,,"{Neoclassicism:1},{Romanticism:1},",,,,,,1779,1786,
Amrita Sher-Gil,,,,,,,,,,,
Fra Angelico,Italian,Florentine School,"{Early Renaissance:167},","Sienese School,",,"Benozzo Gozzoli,",,,1410,1455,
George Inness,American,"American Barbizon school,Hudson River School","{Tonalism:18},{American Impressionism:2},{Hudson River School:1},{Realism:1},{Modern art:3},{Impressionism:2},",,,,,,1852,1894,
Utagawa Toyokuni,Japanese,Utagawa school,"{Edo period (1603–1867):30},",,,,,,1769,1825,
William-Adolphe Bouguereau,,,"{Symbolism:1},{Academic art:1},",,,,,,1862,1903,
Yokoyama Taikan,,,,,,,,,1900,1944,
Ford Madox Brown,British,Pre-Raphaelite Brotherhood,"{Realism:1},{Romanticism:48},","William Holman Hunt,John Everett Millais,Hans Holbein the Younger,","Dante Gabriel Rossetti,","Dante Gabriel Rossetti,",,"William Morris,Edward Burne-Jones,",1837,1893,
Mi Fu,,,,,,,,,,,
Martin Johnson Heade,American,Hudson River School,"{Luminism:2},{Hudson River School:2},{Realism:40},",,,,,,1840,1904,
Tawaraya Sōtatsu,,,,,,,,,,,
Qian Xuan,Chinese,,"{Yuan Dynasty (1271–1368):28},",,,,,,1300,1300,
Thomas Girtin,British,,"{Romanticism:41},",,,,,,1791,1802,
Itō Jakuchū,,,,,,,,,1789,1791,
